Trial number,testcase,baseline_alarm,baseline_crash_result,baseline_health_result,baseline_recovery_result,baseline_state_result,baseline_custom_result
trial-03-0000,"{'field': '[""spec"", ""persistentVolumeClaimRetentionPolicy"", ""whenScaled""]', 'testcase': 'string-deletion'}",False,Pass,Pass,Pass,Pass,Pass
trial-03-0000,"{'field': '[""spec"", ""tolerations"", 0]', 'testcase': 'object-deletion'}",True,Pass,statefulset: test-cluster-server replicas [2] ready_replicas [2],Pass,Pass,Pass
trial-03-0000,"{'field': '', 'testcase': 'revert'}",False,Pass,Pass,Pass,Pass,Pass
trial-03-0000,"{'field': '[""spec"", ""persistentVolumeClaimRetentionPolicy"", ""whenScaled""]', 'testcase': 'Retain'}",False,Pass,Pass,Pass,Pass,Pass
trial-03-0000,"{'field': '[""spec"", ""tolerations"", 0]', 'testcase': 'object-deletion'}",False,Pass,Pass,Pass,Pass,Pass
trial-03-0001,"{'field': '[""spec"", ""tolerations"", 0]', 'testcase': 'object-empty'}",True,Pass,statefulset: test-cluster-server replicas [2] ready_replicas [2],Pass,Pass,Pass
trial-03-0001,,False,Pass,Pass,Pass,Pass,Pass
trial-03-0002,,False,Pass,Pass,Pass,Pass,Pass
trial-03-0002,"{'field': '[""spec"", ""rabbitmqConfig"", ""advancedConfig""]', 'testcase': 'string-deletion'}",True,Pass,statefulset: test-cluster-server replicas [2] ready_replicas [2],Pass,Pass,Pass
trial-03-0003,"{'field': '[""spec"", ""rabbitmqConfig"", ""advancedConfig""]', 'testcase': 'string-change'}",True,Pass,statefulset: test-cluster-server replicas [2] ready_replicas [2],Pass,Pass,Pass
trial-03-0003,,False,Pass,Pass,Pass,Pass,Pass
trial-03-0004,"{'field': '', 'testcase': 'revert'}",False,Pass,Pass,Pass,Pass,Pass
trial-03-0004,"{'field': '[""spec"", ""rabbitmqConfig"", ""advancedConfig""]', 'testcase': 'string-empty'}",False,Pass,Pass,Pass,Pass,Pass
trial-03-0004,"{'field': '[""spec"", ""persistentVolumeClaimRetentionPolicy"", ""whenDeleted""]', 'testcase': 'string-deletion'}",False,Pass,Pass,Pass,Pass,Pass
trial-03-0004,"{'field': '[""spec"", ""persistentVolumeClaimRetentionPolicy"", ""whenDeleted""]', 'testcase': 'Retain'}",False,Pass,Pass,Pass,Pass,Pass
trial-03-0004,,False,Pass,Pass,Pass,Pass,Pass
