Trial number,testcase,baseline_alarm,baseline_crash_result,baseline_health_result,baseline_recovery_result,baseline_state_result,baseline_custom_result
compare-results-a41e07e14a09efa5b4d77733a8bdccc8.json,,True,Pass,Pass,"{'dictionary_item_removed': [""root['pod']['test-cluster-1']"", ""root['pod']['test-cluster-2']""]}",Pass,Pass
compare-results-a74ae20cfc32897c7b9697a8bbd2440c.json,,True,Pass,Pass,"{'dictionary_item_removed': [""root['pod']['test-cluster-1']"", ""root['pod']['test-cluster-2']""]}",Pass,Pass
compare-results-a7a7eb6fda6d742fa63c78de7cc34d9b.json,,True,Pass,Pass,"{'dictionary_item_removed': [""root['pod']['test-cluster-1']"", ""root['pod']['test-cluster-2']""]}",Pass,Pass
compare-results-cf8382e23799a420f504d76fe75e477e.json,,True,Pass,Pass,"{'dictionary_item_removed': [""root['pod']['test-cluster-2']""]}",Pass,Pass
compare-results-dbbfa175c9025eead774ab7991d048fd.json,,True,Pass,Pass,"{'dictionary_item_removed': [""root['pod']['test-cluster-2']""]}",Pass,Pass
trial-00-0000,"{'field': '', 'testcase': 'revert'}",False,Pass,Pass,Pass,Pass,Pass
trial-00-0000,"{'field': '', 'testcase': 'revert'}",False,Pass,Pass,Pass,Pass,Pass
trial-00-0000,"{'field': '', 'testcase': 'revert'}",False,Pass,Pass,Pass,Pass,Pass
trial-00-0000,"{'field': '', 'testcase': 'revert'}",False,Pass,Pass,Pass,Pass,Pass
trial-00-0000,"{'field': '[""spec"", ""conf"", ""snapCount""]', 'testcase': 'number-change'}",False,Pass,Pass,Pass,Pass,Pass
trial-00-0000,"{'field': '[""spec"", ""conf"", ""snapCount""]', 'testcase': 'number-deletion'}",False,Pass,Pass,Pass,Pass,Pass
trial-00-0000,,False,Pass,Pass,Pass,Pass,Pass
trial-00-0001,"{'field': '', 'testcase': 'revert'}",False,Pass,Pass,Pass,Pass,Pass
trial-00-0001,,False,Pass,Pass,Pass,Pass,Pass
trial-00-0001,"{'field': '', 'testcase': 'revert'}",False,Pass,Pass,Pass,Pass,Pass
trial-00-0001,"{'field': '', 'testcase': 'revert'}",False,Pass,Pass,Pass,Pass,Pass
trial-00-0001,"{'field': '', 'testcase': 'revert'}",False,Pass,Pass,Pass,Pass,Pass
trial-01-0000,"{'field': '[""spec"", ""conf"", ""minSessionTimeout""]', 'testcase': 'number-deletion'}",False,Pass,Pass,Pass,Pass,Pass
trial-01-0000,"{'field': '[""spec"", ""conf"", ""minSessionTimeout""]', 'testcase': 'number-change'}",False,Pass,Pass,Pass,Pass,Pass
trial-01-0000,"{'field': '[""spec"", ""labels"", ""ACTOKEY""]', 'testcase': 'string-change'}",False,Pass,Pass,Pass,Pass,Pass
trial-01-0000,"{'field': '[""spec"", ""labels"", ""ACTOKEY""]', 'testcase': 'string-empty'}",False,Pass,Pass,Pass,Pass,Pass
trial-01-0000,,False,Pass,Pass,Pass,Pass,Pass
trial-01-0000,"{'field': '[""spec"", ""labels"", ""ACTOKEY""]', 'testcase': 'string-deletion'}",False,Pass,Pass,Pass,Pass,Pass
trial-01-0000,"{'field': '', 'testcase': 'revert'}",False,Pass,Pass,Pass,Pass,Pass
trial-01-0000,"{'field': '', 'testcase': 'revert'}",False,Pass,Pass,Pass,Pass,Pass
trial-01-0000,"{'field': '[""spec"", ""labels"", ""ACTOKEY""]', 'testcase': 'string-deletion'}",False,Pass,Pass,Pass,Pass,Pass
trial-01-0001,"{'field': '[""spec"", ""annotations""]', 'testcase': 'object-deletion'}",False,Pass,Pass,Pass,Pass,Pass
trial-01-0001,,False,Pass,Pass,Pass,Pass,Pass
trial-01-0001,"{'field': '[""spec"", ""annotations""]', 'testcase': 'object-deletion'}",False,Pass,Pass,Pass,Pass,Pass
trial-01-0001,"{'field': '[""spec"", ""conf"", ""preAllocSize""]', 'testcase': 'number-deletion'}",False,Pass,Pass,Pass,Pass,Pass
trial-02-0000,,False,Pass,Pass,Pass,Pass,Pass
trial-02-0000,"{'field': '[""spec"", ""labels""]', 'testcase': 'object-deletion'}",False,Pass,Pass,Pass,Pass,Pass
trial-02-0000,"{'field': '', 'testcase': 'revert'}",False,Pass,Pass,Pass,Pass,Pass
trial-02-0000,"{'field': '[""spec"", ""labels""]', 'testcase': 'object-deletion'}",False,Pass,Pass,Pass,Pass,Pass
trial-02-0000,"{'field': '[""spec"", ""resources"", ""limits""]', 'testcase': 'object-empty'}",False,Pass,Pass,Pass,Pass,Pass
trial-02-0000,"{'field': '', 'testcase': 'revert'}",False,Pass,Pass,Pass,Pass,Pass
trial-02-0000,"{'field': '', 'testcase': 'revert'}",False,Pass,Pass,Pass,Pass,Pass
trial-02-0000,"{'field': '[""spec"", ""conf"", ""preAllocSize""]', 'testcase': 'number-change'}",False,Pass,Pass,Pass,Pass,Pass
trial-02-0001,"{'field': '', 'testcase': 'revert'}",False,Pass,Pass,Pass,Pass,Pass
trial-02-0001,"{'field': '', 'testcase': 'revert'}",False,Pass,Pass,Pass,Pass,Pass
trial-02-0001,"{'field': '[""spec"", ""labels""]', 'testcase': 'object-empty'}",False,Pass,Pass,Pass,Pass,Pass
trial-02-0001,"{'field': '', 'testcase': 'revert'}",False,Pass,Pass,Pass,Pass,Pass
trial-02-0001,,False,Pass,Pass,Pass,Pass,Pass
trial-03-0000,"{'field': '', 'testcase': 'revert'}",False,Pass,Pass,Pass,Pass,Pass
trial-03-0000,,False,Pass,Pass,Pass,Pass,Pass
trial-03-0000,"{'field': '[""spec"", ""tolerations"", 0]', 'testcase': 'object-deletion'}",False,Pass,Pass,Pass,Pass,Pass
trial-03-0000,"{'field': '[""spec"", ""tolerations"", 0]', 'testcase': 'object-deletion'}",True,Pass,statefulset: test-cluster replicas [2] ready_replicas [2],Pass,Pass,Pass
trial-03-0000,"{'field': '[""spec"", ""resources"", ""claims"", 0]', 'testcase': 'object-deletion'}",False,Pass,Pass,Pass,Pass,Pass
trial-03-0000,"{'field': '', 'testcase': 'revert'}",False,Pass,Pass,Pass,Pass,Pass
trial-03-0000,"{'field': '', 'testcase': 'revert'}",False,Pass,Pass,Pass,Pass,Pass
trial-03-0001,"{'field': '[""spec"", ""tolerations"", 0]', 'testcase': 'object-empty'}",True,Pass,statefulset: test-cluster replicas [2] ready_replicas [2],Pass,Pass,Pass
trial-03-0001,,False,Pass,Pass,Pass,Pass,Pass
trial-03-0002,"{'field': '[""spec"", ""conf"", ""initLimit""]', 'testcase': 'number-deletion'}",True,Pod test-cluster-2 crashed,statefulset: test-cluster replicas [3] ready_replicas [2],Pass,Pass,Pass
trial-03-0002,,False,Pass,Pass,Pass,Pass,Pass
trial-03-0003,"{'field': '[""spec"", ""conf"", ""globalOutstandingLimit""]', 'testcase': 'number-change'}",False,Pass,Pass,Pass,Pass,Pass
trial-03-0003,"{'field': '[""spec"", ""conf"", ""globalOutstandingLimit""]', 'testcase': 'number-deletion'}",False,Pass,Pass,Pass,Pass,Pass
trial-03-0003,"{'field': '[""spec"", ""conf"", ""initLimit""]', 'testcase': 'number-change'}",False,Pass,Pass,Pass,Pass,Pass
trial-03-0003,,False,Pass,Pass,Pass,Pass,Pass
trial-03-0003,"{'field': '[""spec"", ""conf"", ""autoPurgeSnapRetainCount""]', 'testcase': 'number-deletion'}",False,Pass,Pass,Pass,Pass,Pass
trial-04-0000,,False,Pass,Pass,Pass,Pass,Pass
trial-04-0000,"{'field': '[""spec"", ""conf"", ""quorumListenOnAllIps""]', 'testcase': 'boolean-deletion'}",False,Pass,Pass,Pass,Pass,Pass
trial-04-0000,"{'field': '[""spec"", ""conf"", ""quorumListenOnAllIps""]', 'testcase': 'boolean-deletion'}",False,Pass,Pass,Pass,Pass,Pass
trial-04-0000,"{'field': '[""spec"", ""conf"", ""maxCnxns""]', 'testcase': 'number-change'}",False,Pass,Pass,Pass,Pass,Pass
trial-04-0000,"{'field': '[""spec"", ""conf"", ""maxCnxns""]', 'testcase': 'number-deletion'}",False,Pass,Pass,Pass,Pass,Pass
trial-04-0000,"{'field': '[""spec"", ""conf"", ""quorumListenOnAllIps""]', 'testcase': 'boolean-toggle-off'}",False,Pass,Pass,Pass,Pass,Pass
trial-04-0000,"{'field': '[""spec"", ""conf"", ""autoPurgeSnapRetainCount""]', 'testcase': 'number-change'}",False,Pass,Pass,Pass,Pass,Pass
trial-04-0000,"{'field': '[""spec"", ""conf"", ""maxCnxns""]', 'testcase': 'number-deletion'}",False,Pass,Pass,Pass,Pass,Pass
trial-04-0000,"{'field': '[""spec"", ""conf"", ""quorumListenOnAllIps""]', 'testcase': 'boolean-toggle-off'}",True,Pass,statefulset: test-cluster replicas [3] ready_replicas [2],Pass,Pass,Pass
trial-04-0001,"{'field': '', 'testcase': 'revert'}",False,Pass,Pass,Pass,Pass,Pass
trial-04-0001,"{'field': '[""spec"", ""resources"", ""claims"", 0, ""name""]', 'testcase': 'string-deletion'}",False,Pass,Pass,Pass,Pass,Pass
trial-04-0001,"{'field': '[""spec"", ""conf"", ""quorumListenOnAllIps""]', 'testcase': 'boolean-toggle-on'}",False,Pass,Pass,Pass,Pass,Pass
trial-04-0001,,False,Pass,Pass,Pass,Pass,Pass
trial-04-0001,"{'field': '[""spec"", ""resources"", ""claims"", 0, ""name""]', 'testcase': 'string-deletion'}",False,Pass,Pass,Pass,Pass,Pass
trial-04-0001,"{'field': '[""spec"", ""resources"", ""claims"", 0, ""name""]', 'testcase': 'string-change'}",False,Pass,Pass,Pass,Pass,Pass
trial-04-0001,"{'field': '', 'testcase': 'revert'}",False,Pass,Pass,Pass,Pass,Pass
trial-05-0000,"{'field': '[""spec"", ""conf"", ""maxClientCnxns""]', 'testcase': 'number-change'}",False,Pass,Pass,Pass,Pass,Pass
trial-05-0000,"{'field': '', 'testcase': 'revert'}",False,Pass,Pass,Pass,Pass,Pass
trial-05-0000,"{'field': '[""spec"", ""conf"", ""autoPurgePurgeInterval""]', 'testcase': 'number-change'}",False,Pass,Pass,Pass,Pass,Pass
